num,url,name_ko,name_en,country,region,country_region,varietal,vintage,type,category,style,winery,winery_ko,winery_en,brand,grade,price,volume,abv,sweetness,acidity,body,tannin,serving_temp,pairing,awards,title_block
1806,https://www.naracellar.com/wine/wine_view.php?num=1806,바인굿 크놀 로이브너 리슬링 페더슈필,Weingut Knoll Loibner Riesling Fedespiel,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,리슬링(Riesling) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"해산물, 샐러드",2024 JS 92 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1804,https://www.naracellar.com/wine/wine_view.php?num=1804,몬테스 알파 블랙 라벨 시라,Montes Alpha Black Label Syrah,칠레,콜차구아 밸리,칠레 > 콜차구아 밸리,시라(Syrah),,레드,Red,,몬테스(Montes),몬테스,Montes,,,,750ml,,,,,,16-18℃,"그릴에 구운 붉은 육류, 양고기, 치즈",,
1805,https://www.naracellar.com/wine/wine_view.php?num=1805,바인굿 크놀 로이브너 그뤼너 벨트리너 페더슈필,Weingut Knoll Loibner Gruner Veltliner Fedespiel,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,그뤼너 벨트리너(Gruner Veltliner) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"해산물, 샐러드",2024 JS 91 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1803,https://www.naracellar.com/wine/wine_view.php?num=1803,마세리아 아주라,Masseria Azzurra,이태리,풀리아,이태리 > 풀리아,프리미티보(Primitivo) 100%,,레드,Red,,리베라(Rivera),리베라,Rivera,,,,750ml,,,,,,,,,
1800,https://www.naracellar.com/wine/wine_view.php?num=1800,레 아리꼬끄 후세뜨 드 사부아 프랑쥐,Les Aricoques Roussette de Savoie Frangy,프랑스,사보이,프랑스 > 사보이,알테세(Altesse) 100%,,화이트,White,,도멘 아리꼬끄(Domaine Aricoques ),도멘 아리꼬끄,Domaine Aricoques,,,,750ml,,,,,,10-12℃,"토마토 카르파치오, 조개찜. 광어 세비체, 지중해식 샐러드",,
1478,https://www.naracellar.com/wine/wine_view.php?num=1478,샴페인 빌까르 살몽 브뤼 로제,Champagne Billecart Salmon Brut Rose,프랑스,샹파뉴,프랑스 > 샹파뉴,"샤도네이(Chardonnay) 40%, 피노 누아(Pinot Noir) 30%, 피노 뫼니에(Pinot Meunier) 30%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,8~9 ℃,"랑구스틴 카르파치오, 연어 필레",,
1801,https://www.naracellar.com/wine/wine_view.php?num=1801,브이나인 카버네 소비뇽,V9 Cabernet Sauvignon,칠레,콜차구아 밸리,칠레 > 콜차구아 밸리,카버네 소비뇽(Cabernet Sauvignon) 100%,,레드,Red,,베라몬테(Veramonte),베라몬테,Veramonte,,,,750ml,,,,,,16-18℃,"갈비, 보쌈, 떡갈비",,
1752,https://www.naracellar.com/wine/wine_view.php?num=1752,조쉬 셀라 카버네 소비뇽,Josh Cellars Cabernet Sauvignon,미국,캘리포니아,미국 > 캘리포니아,카버네 소비뇽(Cabernet Sauvignoon),,레드,Red,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
108,https://www.naracellar.com/wine/wine_view.php?num=108,케이머스 나파 밸리 카버네 소비뇽,Caymus Napa Valley Cabernet Sauvignon,미국,캘리포니아 > 나파 밸리,미국 > 캘리포니아 > 나파 밸리,카버네 소비뇽 (Cabernet Sauvignon) 100%,,레드,Red,,케이머스 빈야드(Caymus Vineyards),케이머스 빈야드,Caymus Vineyards,,,,750ml,,,,,,16 ~ 18 ℃,"스테이크, 라구 소스를 곁들인 파스타,  숯불갈비",2022 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2021 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2020 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2019 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2018 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2017 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2016 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 All Vintages 더보기,
120,https://www.naracellar.com/wine/wine_view.php?num=120,덕혼 나파 밸리 멀롯,Duckhorn Napa Valley Merlot,미국,캘리포니아 > 나파 밸리,미국 > 캘리포니아 > 나파 밸리,"멀롯 (Merlot) 80%, 카버네 소비뇽 (Cabernet Sauvignon)16%, 카버네 프랑 (Cabernet Franc) 2.5%, 쁘띠 베르도 (Petit Verdot) 1%, 말벡 (Malbec) 0.5%",,레드,Red,,덕혼 빈야드(Duckhorn Vineyards),덕혼 빈야드,Duckhorn Vineyards,,,,750ml,,,,,,17 ~ 18 ℃,"그릴에 구운 버섯, 토마호크, 소고기 구이, 양갈비, 구운 까망베르 치즈, 그뤼에르 치즈","2017 JS 92 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 WE 90 WE : Wine Enthusiast 매해 TOP 100, Best Buy 100, TOP 50 Cellar Selection 선정하여 발표하며 와인과 스피릿 분야에서 매거진을 발행하는 '와인 인뜌지에스트' W&S 90 W&S : Wine & Spirits 와인과 스피릿 구매 가이드로 창간된 전문지로 미국 각처 주요 레스토랑을 대상으로 하는 설문조사 'Restaurant Poll'로 유명 All Vintages 더보기",
1292,https://www.naracellar.com/wine/wine_view.php?num=1292,레인 소노마 코스트 피노 누아,RAEN Sonoma Coast Pinot Noir_Royal St. Robert Cuvée,미국,캘리포니아 > 소노마 코스트,미국 > 캘리포니아 > 소노마 코스트,피노누아(Pinot Noir) 100%,,레드,Red,,레인(RAEN),레인,RAEN,,,,750ml,,,,,,14~16 ℃,가금류 및 붉은 육류,2018 RP 91 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 JS 96 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 Vinous 93 Vinous 로버트 파커가 점수를 발표하는 The Wine Advovate에서 활약한 베테랑 평론가로 80개국 이상에서 구독되는 권위있는 와인 평가 매체 '바이너스' All Vintages 더보기,
370,https://www.naracellar.com/wine/wine_view.php?num=370,몬테스 퍼플 앤젤,Montes Purple Angel,칠레,콜차구아 밸리,칠레 > 콜차구아 밸리,"카르메네르(Carmenere) 92%, 쁘띠 베르도(Petit Verdot) 8%",,레드,Red,,몬테스(Montes),몬테스,Montes,,,,750ml,,,,,,17 ~ 19 ℃,"붉은 육류, 로즈마리와 양갈비, 바비큐 포크립, 다양한 치즈 등",2017 JS 98 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2013 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2009 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2012 WS 93 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 95 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2016 WS 94 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 98 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2003 WS 90 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2015 RP 92 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 99 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2014 RP 92 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 93 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 98 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2011 RP 91 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 93 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 97 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2009 RP 90 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 92 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2008 RP 93 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 90 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2007 RP 94 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 97 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 2006 RP 93+ RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2005 RP 88 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 2004 RP 91 RP : Robert Parker Wine Advocate 전세계에서 가장 영향력 높은 와인 평론가 WS 90 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 All Vintages 더보기,
1750,https://www.naracellar.com/wine/wine_view.php?num=1750,줄스 테일러 말보로 소비뇽 블랑,Jules Taylor Marlborough Sauvignon Blanc,뉴질랜드,말보로,뉴질랜드 > 말보로,소비뇽 블랑(Sauvignon Blanc) 100%,,화이트,White,,줄스 테일러(Jules Taylor),줄스 테일러,Jules Taylor,,,,750ml,,,,,,10~12℃,"흰살 생선 등 해산물류, 샐러드, 가금류",,
1802,https://www.naracellar.com/wine/wine_view.php?num=1802,보시오 브라케토 다퀴 로셀라,Bosio Brachetto d’Aqui Rosella,이태리,피에몬테,이태리 > 피에몬테,브라케토(Brachetto) 100%,,디저트,Dessert,,보시오 패밀리 이스테이트(Bosio Family Estates),보시오 패밀리 이스테이트,Bosio Family Estates,,,,750ml,,,,,,8-10℃,"신선한 과일, 디저트류, 패스트리",,
1799,https://www.naracellar.com/wine/wine_view.php?num=1799,레 아리꼬끄 판 루즈,Les Aricoques Pan Rouze,프랑스,사보이,프랑스 > 사보이,가매(Gamay) 100%,,레드,Red,,도멘 아리꼬끄(Domaine Aricoques ),도멘 아리꼬끄,Domaine Aricoques,,,,750ml,,,,,,10-12℃,"샤퀴테리, 파테, 풍미가 강하지 않은 연성 치즈, 바비큐 요리",,
1811,https://www.naracellar.com/wine/wine_view.php?num=1811,바인굿 크놀 로이브너 리슬링 비노텍퓔룽 스마라그드,Weingut Knoll Loibner Riesling Vinothekfullung Smaragd,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,리슬링(Riesling) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"숙성된 하드 치즈, 구운 치킨, 바닷가재나 관자",,
1675,https://www.naracellar.com/wine/wine_view.php?num=1675,로저 구라트 브뤼 밀레짐,Roger Goulart Brut Millesime,스페인,페네데스,스페인 > 페네데스,"자렐로(Xarel-lo) 40%, 마케베오(Macabeo) 30%, 빠레야다(Parellada) 30%",,스파클링,Sparkling,,로저 구라트(Roger Goulart),로저 구라트,Roger Goulart,,,,750ml,,,,,,6~8℃,"에피타이저, 후라이드 치킨, 스시",,
1813,https://www.naracellar.com/wine/wine_view.php?num=1813,덕혼 디코이 리미티드 알렉산더 밸리 카버네 소비뇽,Duckhorn Decoy Limited Alexander Valley Cabernet Sauvignon,미국,캘리포니아 > 알렉산더 밸리,미국 > 캘리포니아 > 알렉산더 밸리,"카버네 소비뇽(Cabernet Sauvignon) 98%, 멀롯(Merlot) 2%",,레드,Red,,덕혼 빈야드(Duckhorn Vineyards),덕혼 빈야드,Duckhorn Vineyards,,,,750ml,,,,,,,"붉은 육류의 (소, 돼지, 양) 스테이크, 구운 소시지, 다크 초콜릿",,
1812,https://www.naracellar.com/wine/wine_view.php?num=1812,루트 50 레드 블렌드,Route 50 Red Blend,미국,캘리포니아,미국 > 캘리포니아,"시라(Syrah), 멀롯(Merlot), 카버네 소비뇽(Cabernet Sauvignon)",,레드,Red,,카모미 와이너리(Ca'Momi Winery),카모미 와이너리,Ca'Momi Winery,,,,750ml,,,,,,16-18℃,"구운 연어, 스테이크, 버섯 볶음",,
1814,https://www.naracellar.com/wine/wine_view.php?num=1814,덕혼 디코이 리미티드 알렉산더 밸리 멀롯,Duckhorn Decoy Limited Alexander Valley Merlot,미국,캘리포니아 > 알렉산더 밸리,미국 > 캘리포니아 > 알렉산더 밸리,"멀롯(Merlot) 94%, 카버네 소비뇽(Cabernet Sauvignon) 6%",,레드,Red,,덕혼 빈야드(Duckhorn Vineyards),덕혼 빈야드,Duckhorn Vineyards,,,,750ml,,,,,,,"붉은 육류의 (소, 돼지, 양) 스테이크, 구운 소시지, 다크 초콜릿",,
1810,https://www.naracellar.com/wine/wine_view.php?num=1810,바인굿 크놀 리드 슈트 리슬링 스마라그드,Weingut Knoll Ried Schutt Riesling Smaragd,오스트리아,바하우 > 리드 슈트,오스트리아 > 바하우 > 리드 슈트,리슬링(Riesling) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"버터 소스를 곁들인 흰살 생선, 가리비나 랍스터 같은 풍미 있는 해산물",2024 JS 98 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1809,https://www.naracellar.com/wine/wine_view.php?num=1809,바인굿 크놀 리드 슈트 그뤼너 벨트리너 스마라그드,Weingut Knoll Ried Schutt Gruner Veltliner Smaragd,오스트리아,바하우 > 리드 슈트,오스트리아 > 바하우 > 리드 슈트,그뤼너 벨트리너(Gruner Veltliner) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"흰살생선, 가리비나 랍스터 등 풍미가 있는 해산물, 파스타",2024 JS 96 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1807,https://www.naracellar.com/wine/wine_view.php?num=1807,바인굿 크놀 리드 크로이틀레스 그뤼너 벨트리너 페더슈필,Weingut Knoll Ried Kreutles Gruner Veltliner Fedespiel,오스트리아,바하우 > 리드 크로이틀레스,오스트리아 > 바하우 > 리드 크로이틀레스,그뤼너 벨트리너(Gruner Veltliner) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"해산물, 흰살 생선, 닭고기, 채소 요리",,
1808,https://www.naracellar.com/wine/wine_view.php?num=1808,바인굿 크놀 로이브너 리슬링 스마라그드,Weingut Knoll Loibner Riesling Smaragd,오스트리아,바하우 > 로이브너,오스트리아 > 바하우 > 로이브너,리슬링(Riesling) 100%,,화이트,White,,바인굿 크놀(Weingut Knoll),바인굿 크놀,Weingut Knoll,,,,750ml,,,,,,,"흰살생선, 가리비나 랍스터 등 풍미가 있는 해산물, 파스타",2024 JS 93 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1821,https://www.naracellar.com/wine/wine_view.php?num=1821,프리츠 하그 유퍼 리슬링 트로켄 GG,Fritz Haag Juffer Riesling Trocken GG,독일,모젤,독일 > 모젤,리슬링(Riesling),,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,750ml,,,,,,,,,
1820,https://www.naracellar.com/wine/wine_view.php?num=1820,프리츠 하그 유퍼 존넨누어 리슬링 아우스레제 375ml,Fritz Haag Juffer Sonnenuhr Riesling Auslese 375ml,독일,모젤,독일 > 모젤,,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,375ml,,,,,,,"디저트, 과일 요리, 블루 치즈",,
1819,https://www.naracellar.com/wine/wine_view.php?num=1819,프리츠 하그 유퍼 리슬링 슈페트레제,Fritz Haag Juffer Riesling Spatlese,독일,모젤,독일 > 모젤,리슬링(Reistling) 100%,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,750ml,,,,,,,"해산물 요리, 매콤한 아시아 음식, 가벼운 육류 요리 및 치즈",,
1818,https://www.naracellar.com/wine/wine_view.php?num=1818,프리츠 하그 브라우네베르거 리슬링 트로켄 J,Fritz Haag Brauneberger Riesling Trocken J,독일,모젤,독일 > 모젤,리슬링(Riesling) 100%,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,750ml,,,,,,,,,
1817,https://www.naracellar.com/wine/wine_view.php?num=1817,프리츠 하그 리슬링 트로켄,Fritz Haag Riesling Trocken,독일,모젤,독일 > 모젤,리슬링 (Riesling) 100%,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,750ml,,,,,,,"샐러드, 다양한 해산물 요리, 생선 요리, 부야베스",2024 JS 90 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1815,https://www.naracellar.com/wine/wine_view.php?num=1815,헨쉬키 페기스 힐 리슬링,Henschke Peggy’s Hill Riesling,호주,남호주 > 에덴 밸리,호주 > 남호주 > 에덴 밸리,리슬링 (Riesling) 100%,,화이트,White,,헨쉬키(Henschke),헨쉬키,Henschke,,,,750ml,,,,,,8-10 ℃,"해산물, 초밥, 김밥, 까망베리 치즈",,
1758,https://www.naracellar.com/wine/wine_view.php?num=1758,조쉬 셀라 리저브 노스 코스트 샤도네이,Josh Cellars Reserve North Coast Chardonnay,미국,캘리포니아 > 노스 코스트,미국 > 캘리포니아 > 노스 코스트,샤도네이(Chardonnay) 100%,,화이트,White,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1816,https://www.naracellar.com/wine/wine_view.php?num=1816,프리츠 하그 리슬링,Fritz Haag Riesling,독일,모젤,독일 > 모젤,리슬링(Riesling) 100%,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,750ml,,,,,,,"굴 및 다양한 조개류, 새우, 치즈, 치킨 샐러드",2024 JS 90 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1822,https://www.naracellar.com/wine/wine_view.php?num=1822,프리츠 하그 유퍼 존넨누어 리슬링 아우스레제 골드 캡슐 375ml,Fritz Haag Juffer Sonnenuhr Riesling Auslese Gold Capsule 375ml,독일,모젤,독일 > 모젤,리슬링(Riesling) 100%,,화이트,White,,프리츠 하그(Fritz Haag),프리츠 하그,Fritz Haag,,,,375ml,,,,,,,"블루 치즈, 디저트, 과일 요리",,
1757,https://www.naracellar.com/wine/wine_view.php?num=1757,조쉬 셀라 허스 카버네 소비뇽,Josh Cellars Hearth Cabernet Sauvignon,미국,캘리포니아,미국 > 캘리포니아,카버네 소비뇽(Cabernet Sauvignon) 100%,,레드,Red,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1756,https://www.naracellar.com/wine/wine_view.php?num=1756,조쉬 셀라 씨스웹트,Josh Cellars Seaswept,미국,캘리포니아,미국 > 캘리포니아,"소비뇽 블랑(Sauvignon Blanc) 52%, 피노 그리지오(Pinot Grigio) 48%",,화이트,White,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1755,https://www.naracellar.com/wine/wine_view.php?num=1755,조쉬 셀라 레거시 레드 블렌드,Josh Cellars Legacy Red Blend,미국,캘리포니아,미국 > 캘리포니아,"진판델(Zinfandel), 쁘띠 시라(Petite Sirah), 루비 카베르네(Ruby Cabernet), 멀롯(Merlot), 투리가 나시오날(Touriga Nacional), 그르나슈(Grenache), 시라(Syrah), 수자오(Souzao), 템프라니요(Tem",,레드,Red,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1748,https://www.naracellar.com/wine/wine_view.php?num=1748,도멘 미쉘 르부르정 부르고뉴 꼬뜨 도르 루즈,Domaine Michel Rebourgeon Bourgogne Cote d’Or Rouge,프랑스,부르고뉴,프랑스 > 부르고뉴,피노 누아(Pinot Noir) 100%,,레드,Red,,도멘 미쉘 르부르정(Domaine Michel Rebourgeon),도멘 미쉘 르부르정,Domaine Michel Rebourgeon,,,,750ml,,,,,,14℃,"구운 양고기, 로스트 비프",,
1751,https://www.naracellar.com/wine/wine_view.php?num=1751,더 베터 하프 말보로 소비뇽 블랑,The Better half Marlborough Sauvignon Blanc,뉴질랜드,말보로,뉴질랜드 > 말보로,소비뇽 블랑(Sauvignon Blanc) 100%,,화이트,White,,줄스 테일러(Jules Taylor),줄스 테일러,Jules Taylor,,,,750ml,,,,,,10~12℃,"생굴, 해산물, 허브나 향신료가 어우러진 음식",,
1753,https://www.naracellar.com/wine/wine_view.php?num=1753,조쉬 셀라 샤도네이,Josh Cellars Chardonnay,미국,캘리포니아,미국 > 캘리포니아,샤도네이(Chardonnay) 100%,,화이트,White,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1754,https://www.naracellar.com/wine/wine_view.php?num=1754,조쉬 셀라 소비뇽 블랑,Josh Cellars Sauvignon Blanc,미국,캘리포니아,미국 > 캘리포니아,소비뇽 블랑(Sauvignon Blanc),,화이트,White,,조쉬 셀라(Josh Cellars),조쉬 셀라,Josh Cellars,,,,750ml,,,,,,,,,
1749,https://www.naracellar.com/wine/wine_view.php?num=1749,도멘 기슬랑 코허 본 로마네,Domaine Ghislain Kohut Vosne Romanee,프랑스,부르고뉴 > 꼬뜨 드 뉘 > 본-로마네,프랑스 > 부르고뉴 > 꼬뜨 드 뉘 > 본-로마네,,,레드,Red,,도멘 기슬란 코허(Domaine Ghislain Kohut),도멘 기슬란 코허,Domaine Ghislain Kohut,,,,750ml,,,,,,16℃,"오리 가슴살, 송아지 요리, 트러플을 곁들인 파스타, 잘 숙성된 치즈",,
1747,https://www.naracellar.com/wine/wine_view.php?num=1747,에릭 부아젤롯 몬텔리 레 오트 브항느,Eric Boigelot Monthelie Les Hauts Brins,프랑스,부르고뉴 > 꼬뜨 드 본 > 몽뗄리,프랑스 > 부르고뉴 > 꼬뜨 드 본 > 몽뗄리,피노 누아(Pinot Noir) 100%,,레드,Red,,에릭 부아젤롯(Eric Boigelot),에릭 부아젤롯,Eric Boigelot,,,,750ml,,,,,,15~17℃,"연성치즈(브리, 까망베르), 양고기, 소시지 구이, 미트 파이, 샤퀴테리",,
1745,https://www.naracellar.com/wine/wine_view.php?num=1745,샴페인 뱅상 쿠셰 로제 데시르 브뤼 나뚜르,Champagne Vincent Couche Rose Desir - Brut Nature,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 누아(Pinot Noir) 90%, 샤도네이(Chardonnay) 10%",,스파클링,Sparkling,,샴페인 뱅상 쿠셰(Champagne Vincent Couche),샴페인 뱅상 쿠셰,Champagne Vincent Couche,,,,750ml,,,,,,8~10℃,"연어 타르타르, 샤퀴테리, 베리 샐러드",,
1746,https://www.naracellar.com/wine/wine_view.php?num=1746,도멘 장 샤를 히옹 부르고뉴 꼬뜨 도르,Domaine Jean Charles Rion Bourgogne Cote d’Or,프랑스,부르고뉴,프랑스 > 부르고뉴,피노 누아(Pinot Noir) 100%,,레드,Red,,도멘 장-샤를 히옹(Domaine Jean-Charles Rion),도멘 장-샤를 히옹,Domaine Jean-Charles Rion,,,,750ml,,,,,,16~18℃,"파테, 숙성 기간이 길지 않은 연성 치즈, 북경 오리",,
1765,https://www.naracellar.com/wine/wine_view.php?num=1765,도멘 미쉘 보아릭 페르낭 베르쥴레스 블랑,Domaine Michel Voarick Pernand-Vergelesses Blanc,프랑스,부르고뉴 > 꼬뜨 드 본 > 페르낭 베르쥴레스,프랑스 > 부르고뉴 > 꼬뜨 드 본 > 페르낭 베르쥴레스,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 미쉘 보아릭(Domaine Michel Voarick),도멘 미쉘 보아릭,Domaine Michel Voarick,,,,750ml,,,,,,11~13℃,"가금류, 초밥, 구운 생선",,
1735,https://www.naracellar.com/wine/wine_view.php?num=1735,도멘 드 라 까데뜨 부르고뉴 루즈 라 가란스,Domaine de la Cadette Bourgogne Rouge La Garance,프랑스,부르고뉴,프랑스 > 부르고뉴,피노 누아(Pinot Noir) 100%,,레드,Red,,도멘 드 라 까데뜨(Domaine de la Cadette),도멘 드 라 까데뜨,Domaine de la Cadette,,,,750ml,,,,,,14~16℃,"흰살 육류 요리, 야채 그라탕, 닭꼬치",,
1739,https://www.naracellar.com/wine/wine_view.php?num=1739,까미유 띠리에 부르고뉴 알리고떼 뒤 자르댕,Camille Thiriet Bourgogne Aligote du Jardin,프랑스,부르고뉴,프랑스 > 부르고뉴,알리고떼(Aligote) 100%,,화이트,White,,도멘 까미유 띠리에(Domaine Camille Thiriet),도멘 까미유 띠리에,Domaine Camille Thiriet,,,,750ml,,,,,,10~12℃,"해산물, 숙성 기간이 길지 않은 연성 치즈, 페타 치즈를 곁들인 지중해식 샐러드, 샤퀴테리, 굴찜, 생선 구이",,
