num,url,name_ko,name_en,country,region,country_region,varietal,vintage,type,category,style,winery,winery_ko,winery_en,brand,grade,price,volume,abv,sweetness,acidity,body,tannin,serving_temp,pairing,awards,title_block
1440,https://www.naracellar.com/wine/wine_view.php?num=1440,샴페인 가메 리베 드로아 브뤼,Champagne Gamet Rive Droite Brut,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 뫼니에(Pinot Meunier) 85%, 피노 누아(Pinot Noir) 15%",,스파클링,Sparkling,,샴페인 가메(Champagne Gamet),샴페인 가메,Champagne Gamet,,,,750ml,,,,,,8~10℃,,,
1441,https://www.naracellar.com/wine/wine_view.php?num=1441,샴페인 가메 리베 가쉐 브뤼,Champagne Gamet Rive Gauche Brut,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 뫼니에(Pinot Meunier) 55%, 피노 누아(Pinot Noir) 30%, 샤도네이(Chardonnay) 15%",,스파클링,Sparkling,,샴페인 가메(Champagne Gamet),샴페인 가메,Champagne Gamet,,,,750ml,,,,,,8~10℃,,,
1480,https://www.naracellar.com/wine/wine_view.php?num=1480,샴페인 빌까르 살몽 블랑 드 블랑 그랑 크뤼,Champagne Billecart Salmon Blanc de Blancs Grand Cru,프랑스,샹파뉴,프랑스 > 샹파뉴,"샤도네이(Chardonnay) 100%/ Avize, Chouilly, Cramant, Mesnil-sur-Oger",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,8 ℃,"오세트라 캐비어, 고급 숙성 회",,
1482,https://www.naracellar.com/wine/wine_view.php?num=1482,샴페인 빌까르 살몽 블랑 드 블랑 루이 살몽,Champagne Billecart Salmon Blanc de Blancs Louis Salmon,프랑스,샹파뉴,프랑스 > 샹파뉴,"샤도네이(Chardonnay) 100% / Mesnil-sur-Oger 60%, Cramant 23%, Chouilly 11%, Oiry 6%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,12 ℃,"랍스터 리조또, 테리야키 스타일의 관자 요리",,
1439,https://www.naracellar.com/wine/wine_view.php?num=1439,솔레이 르 로제,Souleil Le Rose,프랑스,랑그독 루시용,프랑스 > 랑그독 루시용,"그르나슈(Grenache) 75%, 생소(Cinsault) 20%, 시라(Syrah) 5%",,로제,Rosé,,솔레이(Soueil),솔레이,Soueil,,,,750ml,,,,,,,,2022 WS 88 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 90 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 W&S 89 W&S : Wine & Spirits 와인과 스피릿 구매 가이드로 창간된 전문지로 미국 각처 주요 레스토랑을 대상으로 하는 설문조사 'Restaurant Poll'로 유명 All Vintages 더보기,
1438,https://www.naracellar.com/wine/wine_view.php?num=1438,솔레이 르 블랑,Souleil Le Blanc,프랑스,랑그독 루시용,프랑스 > 랑그독 루시용,"픽풀(Piquepoul) 65%, 테레 블랑(Terret Blanc) 20%, 유니 블랑(Ugni Blanc) 15%",,화이트,White,,솔레이(Soueil),솔레이,Soueil,,,,750ml,,,,,,,,2022 WS 88 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 90 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 W&S 88 W&S : Wine & Spirits 와인과 스피릿 구매 가이드로 창간된 전문지로 미국 각처 주요 레스토랑을 대상으로 하는 설문조사 'Restaurant Poll'로 유명 All Vintages 더보기,
1437,https://www.naracellar.com/wine/wine_view.php?num=1437,솔레이 르 루즈,Souleil Le Rouge,프랑스,랑그독 루시용,프랑스 > 랑그독 루시용,"그르나슈(Grenache) 58%, 시라(Syrah) 42%",,레드,Red,,솔레이(Soueil),솔레이,Soueil,,,,750ml,,,,,,,,2022 WS 88 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 87 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1477,https://www.naracellar.com/wine/wine_view.php?num=1477,샴페인 빌까르 살몽 빈티지,Champagne Billecart Salmon Vintage,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 누아(Pinot Noir) 66%, 샤도네이(Chardonnay) 34% / Grand Cru 100%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,11~12 ℃,도미 세비체,,
1436,https://www.naracellar.com/wine/wine_view.php?num=1436,샴페인 미쉘 루타 브뤼 나뚜르 뀌베 레 그리에떼,Champagne Michel Rutat Brut Nature Cuvee les Grillettes,프랑스,샹파뉴 > 꼬뜨 데 블랑,프랑스 > 샹파뉴 > 꼬뜨 데 블랑,샤도네이(Chardonnay) 100%,,스파클링,Sparkling,,샴페인 미쉘 루타(Champagne Michel Rutat),샴페인 미쉘 루타,Champagne Michel Rutat,,,,750ml,,,,,,10~12℃,"아페르티프, 캘리포니아 롤, 생선 요리 등 가벼운 식사",,
1476,https://www.naracellar.com/wine/wine_view.php?num=1476,샴페인 빌까르 살몽 드미 섹,Champagne Billecart Salmon Demi-Sec,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 누아(Pinot Noir) 30%, 샤도네이(Chardonnay) 30%, 뫼니에(Meunier) 40%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,8 ℃,"파티시에, 초콜릿 케이크, 애프터 눈 스낵 등",,
1475,https://www.naracellar.com/wine/wine_view.php?num=1475,샴페인 빌까르 살몽 브뤼 나뚜르,Champagne Billecart Salmon Brut Nature,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 누아(Pinot Noir) 30%, 샤도네이(Chardonnay) 30%, 뫼니에(Meunier) 40%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,10~11 ℃,,,
1474,https://www.naracellar.com/wine/wine_view.php?num=1474,샴페인 빌까르 살몽 르 리저브,Champagne Billecart Salmon Le Reserve,프랑스,샹파뉴,프랑스 > 샹파뉴,"뫼니에(Meunier) 43%,  피노 누아(Pinot Noir) 29%, 샤도네이(Chardonnay) 28%",,스파클링,Sparkling,,샴페인 빌까르 살몽(Champagne Billecart Salmon),샴페인 빌까르 살몽,Champagne Billecart Salmon,,,,750ml,,,,,,8~10 ℃,"연어, 스시, 송아지 카르파치오, 크림소스를 가미한 닭고기",N/V WS 91 WS : Wine Spectator 연말에 그 해 가장 뛰어난 와인 100선(TOP 100)을 선정하는 것으로 유명한 미국 와인 전문지 JS 92 JS : James Suckling 와인 스펙테이터에서 30년 가까운 경력을 쌓은 현재 가장 영향력 있는 와인 평론가 중 한 사람 All Vintages 더보기,
1471,https://www.naracellar.com/wine/wine_view.php?num=1471,메디치 에르메테 퀘르치올리 람브루스코 돌체,Medici Ermete Quercioli Lambrusco Dolce,이태리,에밀리아-로마냐,이태리 > 에밀리아-로마냐,"람부르스코 살라미노(Lambrusco Salamino), 람부르스코 마라니(Lambrusco Marani)",,스파클링,Sparkling,,메디치 에르메테(Medici Ermete),메디치 에르메테,Medici Ermete,,,,750ml,,,,,,8~10 ℃,,,
1469,https://www.naracellar.com/wine/wine_view.php?num=1469,시크릿 스톤 말보로 소비뇽 블랑,Secret Stone Marlborough Sauvignon Blanc,뉴질랜드,말보로,뉴질랜드 > 말보로,소비뇽 블랑,,화이트,White,,시크릿 스톤(Secret Stone),시크릿 스톤,Secret Stone,,,,750ml,,,,,,10-12,"식전주로도 손색없으며 레몬을 곁들인 신선한 굴, 초밥, 숙성회와 같은 해산물 요리, 크림이나 오일을 베이스로한 파스타 요리",,
1470,https://www.naracellar.com/wine/wine_view.php?num=1470,메디치 에르메테 퀘르치올리 람브루스코 세코,Medici Ermete Quercioli Lambrusco Secco,이태리,에밀리아-로마냐,이태리 > 에밀리아-로마냐,"람부르스코 살라미노(Lambrusco Salamino), 람부르스코 마라니(Lambrusco Marani)",,스파클링,Sparkling,,메디치 에르메테(Medici Ermete),메디치 에르메테,Medici Ermete,,,,750ml,,,,,,14~15 ℃,,,
1450,https://www.naracellar.com/wine/wine_view.php?num=1450,샴페인 기욤 마르토 라타피아 콤플레트망 마르토,Champagne Guillaume Marteaux Ratafia Completement Marteaux,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,"피노 뫼니에 쥬스(Pinot Meunier Juice) 77%, 파인 샴페인(Fine de Champagne) 23%",,주정강화,Fortified,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"디저트, 다크 초콜릿 케이크, 바닐라 치즈케이크",,
1449,https://www.naracellar.com/wine/wine_view.php?num=1449,샴페인 기욤 마르토 에스쁘리 테루아 브뤼 나뛰르,Champagne Guillaume Marteaux Esprit Terroirs Brut Nature,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,"샤도네이(Chardonnay) 50%, 피노 누아(Pinot Noir) 40%, 피노 뫼니에(Pinot Meunier) 10%",,스파클링,Sparkling,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"각종 해산물 요리, 다양한 맛의 경성 치즈",,
1448,https://www.naracellar.com/wine/wine_view.php?num=1448,샴페인 기욤 마르토 르 메티크 블랑드 블랑,Champagne Guillaume Marteaux Le Meteque Blanc de Blanc,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,샤도네이(Chardonnay)100%,,스파클링,Sparkling,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"버터소스 해산물(굴, 랑구스틴), 18~24 개월 숙성 꽁떼 치즈",,
1447,https://www.naracellar.com/wine/wine_view.php?num=1447,샴페인 기욤 마르토 르 메티스 엑스트라 브뤼,Champagne Guillaume Marteaux Le Metisse Extra Brut,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,"샤도네이(Chardonnay) 45%, 피노 뫼니에(Pinot Meunier) 36%, 피노 누아(Pinot Noir) 19%",,스파클링,Sparkling,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"신선한 호박 샐러드, 관자, 은은한 스파이스향의 각종 생선요리",,
1445,https://www.naracellar.com/wine/wine_view.php?num=1445,샴페인 기욤 마르토 린디진,Champagne Guillaume Marteaux L'indigene Brut,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,피노 뫼니에(Pinot Meunier )100%,,스파클링,Sparkling,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"크림소스 치킨 커틀릿, 트러플 오일이 들어간 유기농 샐러드",,
1446,https://www.naracellar.com/wine/wine_view.php?num=1446,샴페인 기욤 마르토 인퓨전 로제,Champagne Guillaume Marteaux Infusion Rose Brut,프랑스,샹파뉴 > 발레 드 라 마른,프랑스 > 샹파뉴 > 발레 드 라 마른,"피노 누아(Pinot Noir) 38%, 샤도네이(Chardonnay) 35%, 피노 뫼니에(Pinot Meunier) 28%",,스파클링,Sparkling,,샴페인 기욤 마르토(Champagne Guillaume Marteaux),샴페인 기욤 마르토,Champagne Guillaume Marteaux,,,,750ml,,,,,,8~10℃,"풍미가 강한 연성치즈 (에푸아스, 랑그르…etc), 달지않은 다크 초콜릿",,
1444,https://www.naracellar.com/wine/wine_view.php?num=1444,샴페인 아르노 모로 그랑 크뤼 에린 블랑 드 블랑 엑스트라 브뤼,Champagne Arnaud Moreau Grand Cru Erynn Blanc de Blanc Extra Brut,프랑스,샹파뉴 > 부지,프랑스 > 샹파뉴 > 부지,샤도네이(Chardonnay) 100%,,스파클링,Sparkling,,샴페인 아르노 모로(Champagne Arnaud Moreau),샴페인 아르노 모로,Champagne Arnaud Moreau,,,,750ml,,,,,,10~12℃,"아페르티프, 해산물, 어패류, 피시 앤 칩스, 크림 치즈",,
1459,https://www.naracellar.com/wine/wine_view.php?num=1459,도멘 당트 샤블리 프리미에 크뤼 푸르숌,Domaine Dampt Chablis 1er Cru Fourchaume,프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12~13℃,"관자, 생선, 흰색 육류 요리",,
1472,https://www.naracellar.com/wine/wine_view.php?num=1472,메디치 에르메테 콘체르토 람브루스코,Medici Ermete Concerto Lambrusco,이태리,에밀리아-로마냐,이태리 > 에밀리아-로마냐,람부르스코 살라미노(Lambrusco Salamino),,스파클링,Sparkling,,메디치 에르메테(Medici Ermete),메디치 에르메테,Medici Ermete,,,,750ml,,,,,,8~9 ℃,,,
1458,https://www.naracellar.com/wine/wine_view.php?num=1458,도멘 당트 샤블리 프리미에 크뤼 '베르디오',Domaine Dampt Chablis 1er Cru 'Berdiot',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"어패류, 생선 요리, 소스가 더해진 흰색 육류, 치즈",,
1455,https://www.naracellar.com/wine/wine_view.php?num=1455,도멘 당트 샤블리 그랑 크뤼 '블랑쇼',Domaine Dampt Chablis Grand Cru 'Blanchot',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"관자 등 어패류 및 랍스터 등 갑각류, 흰살생선 요리",,
1456,https://www.naracellar.com/wine/wine_view.php?num=1456,도멘 당트 샤블리 프리미에 크뤼 '몽떼 드 또네르',Domaine Dampt Chablis 1er Cru 'Montee de Tonnerre',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"그릴 랍스터, 생선 및 크림 소스로 양념된 흰살 육류",,
1457,https://www.naracellar.com/wine/wine_view.php?num=1457,도멘 당트 샤블리 프리미에 크뤼 '뷔또',Domaine Dampt Chablis 1er Cru 'Butteaux',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"생선 요리, 크림 소스로 양념된 흰살 육류, 중간 숙성 치즈",,
1473,https://www.naracellar.com/wine/wine_view.php?num=1473,메디치 에르메테 페르멘토 람브루스코 디 소르바라,Medici Ermete Phermento Lambrusco di Sorbara,이태리,에밀리아-로마냐,이태리 > 에밀리아-로마냐,람부르스코 디 소르바라(Lambrusco di Sorbara),,스파클링,Sparkling,,메디치 에르메테(Medici Ermete),메디치 에르메테,Medici Ermete,,,,750ml,,,,,,8~10 ℃,,,
1454,https://www.naracellar.com/wine/wine_view.php?num=1454,도멘 당트 샤블리 그랑 크뤼 '부그로',Domaine Dampt Chablis Grand Cru 'Bougros',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"관자 등 어패류 및 랍스터 등 갑각류, 흰살생선 요리",,
1451,https://www.naracellar.com/wine/wine_view.php?num=1451,도멘 당트 샤블리 그랑 크뤼 '레 끌로',Domaine Dampt Chablis Grand Cru 'Les Clos',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"관자 등 어패류 및 랍스터 등 갑각류, 흰살생선 요리",,
1453,https://www.naracellar.com/wine/wine_view.php?num=1453,도멘 당트 샤블리 그랑 크뤼 '보데지르',Domaine Dampt Chablis Grand Cru 'Vaudesir',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%샤,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,12℃,"해산물, 어패류 및 가금류",,
1452,https://www.naracellar.com/wine/wine_view.php?num=1452,도멘 당트 샤블리 그랑 크뤼 '레 프레즈',Domaine Dampt Chablis Grand Cru 'Les Preuses',프랑스,부르고뉴 > 샤블리,프랑스 > 부르고뉴 > 샤블리,샤도네이(Chardonnay) 100%,,화이트,White,,도멘 당트(Domaine Dampt),도멘 당트,Domaine Dampt,,,,750ml,,,,,,13℃,"관자 등 어패류 및 랍스터 등 갑각류, 흰살생선 요리",,
1401,https://www.naracellar.com/wine/wine_view.php?num=1401,샴페인 굴라드 세린느,Champagne Goulard Sereine,프랑스,샹파뉴,프랑스 > 샹파뉴,"피노 뫼니에(Pinot Meunier) 35%, 피노 누아(Pinot Noir) 35%, 샤도네이(Chardonnay) 30%",,스파클링,Sparkling,,샴페인 굴라르(Champagne J.M. Goulard),샴페인 굴라르,Champagne J.M. Goulard,,,,750ml,,,,,,10~12 ℃,"아페르티프 및 크랩 케이크, 비프 타르타르 등 차가운 전채요리",,
1397,https://www.naracellar.com/wine/wine_view.php?num=1397,샴페인 라큐르 프레레 부르동 샤도네이 밀레짐,Champagne Laculle Freres Bourdon Chardonnay Millesime,프랑스,샹파뉴,프랑스 > 샹파뉴,샤도네이(Chardonnay) 100%,,스파클링,Sparkling,,샴페인 라큐르 프레레(Champagne Laculle Freres),샴페인 라큐르 프레레,Champagne Laculle Freres,,,,750ml,,,,,,10~12 ℃,"아페르티프, 흰살 생선 요리",,
1399,https://www.naracellar.com/wine/wine_view.php?num=1399,샴페인 라큐르 프레레 로제 뀌베 쁘띠 포앙 루즈,Champagne Laculle Freres Rose Cuvee Petit Point Rouge,프랑스,샹파뉴,프랑스 > 샹파뉴,피노 누아(Pinot Noir) 100%,,스파클링,Sparkling,,샴페인 라큐르 프레레(Champagne Laculle Freres),샴페인 라큐르 프레레,Champagne Laculle Freres,,,,750ml,,,,,,10~12 ℃,"가리비 세비체, 도미 타르타르",,
